drugName,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85,PC86,PC87,PC88,PC89,PC90,PC91,PC92,PC93,PC94,PC95,PC96,PC97,PC98,PC99,PC100,PC101,PC102,PC103,PC104,PC105,PC106,PC107,PC108,PC109,PC110,PC111,PC112,PC113,PC114,PC115,PC116,PC117,PC118,PC119,PC120,PC121,PC122,PC123,PC124,PC125,PC126,PC127,PC128
Lenalidomide,-0.70998777,0.7011969431718441,-0.079187646,0.07049169832540596,-0.389087179,0.6399040136937199,-0.407784289,0.309968755479908,-0.984886447,0.4715165057119015,0.21037642988269165,1.8138606660310495,0.2954660955190113,-0.044060039,0.2858114195720475,-1.240503049,-1.055747011,0.061831152852248404,0.9068703453882427,-1.422002045,-0.871108765,-0.277715877,-0.334547382,0.5518280674480508,-0.979665945,1.49429229704511,0.49200608410234364,-0.187027406,-1.422493368,4.000874135513977,-2.225305575,-0.696907328,-1.046634257,-0.528147543,0.5231331565015055,-1.835845526,2.280640514399637,-0.710130036,2.469879149519685,-0.52807081,-0.598573196,1.0270034192779134,0.7194331527617791,-0.718328268,0.6523258507224222,0.2522960983231573,-0.124641591,-1.28712848,1.5219756873976467,-0.118833008,2.494973786173973,0.8971542851812128,-0.673379174,0.9635945651373872,0.4754180248104829,-0.209825212,-1.553472171,0.48144858571932125,1.4288464704516395,-1.567466635,0.8407038419223769,-0.159102728,1.2622396311105009,-0.133308372,0.8089347394781187,-0.467321435,1.2068024085511158,0.5398114050821324,-0.352421011,0.7633006653004984,0.5018949234034832,1.81293643601266,-0.802380636,0.7520500020451754,0.8438107989659126,-0.586280593,-0.834080552,-1.329011403,1.010983153816886,-1.049535811,0.0994302561162002,-0.375324076,-0.184112506,-0.08633646,-0.267049392,0.4714430795448262,-0.311886846,-0.956715704,0.32719361437235406,-0.537110631,-0.444748405,0.22130563407756823,0.5930929290296254,0.32942192015918487,-0.777415181,-0.190821767,0.08806756668868246,0.723176666082225,0.31590560021494485,-0.493973738,-0.178929439,0.030382797815781223,-0.553599399,-0.424442459,-0.139005676,-0.424020546,-0.94708578,-0.057017782,-0.078650456,0.06681784948656956,-0.114839306,0.031038258029503836,-0.160945738,0.29974463104167015,-0.805191765,0.19972228679172754,-0.380405938,-0.425728657,-0.005615584,0.34530485369457986,0.07496600928950817,0.039167049855293574,0.49500252307221054,0.30827569337540217,0.1291912899019602,-0.225755625,0.03146364204441645,0.10868708954209337
Cladribine,2.718129121152117,0.1041949286789265,0.14277727510002042,-0.040612026,0.08453193180451296,-0.009174423,-0.028253253,0.004773108849616375,0.07033964373838436,0.007470028730960242,-0.018096213,0.015483750317605365,0.017252143706993045,0.014009297610308861,-0.034236482,-0.008593408,0.02020499210805324,0.005133681948398276,0.026201895846887646,-0.061080462,0.00805805657061823,0.04962956561626917,-0.012104461,-0.044214044,-0.011320312,0.009037816707978836,0.005647839916777954,-0.01546662,-0.000361383,-0.0035905,0.011221762463515887,-0.006116424,0.0033564545496507204,0.01665419178215385,0.024657972373028678,0.00646488189266944,0.011063013556007398,-0.028616772,0.02578868085725454,-0.001583437,0.0032162790519343217,-0.00830106,-0.008557118,-0.005187035,0.005828751135776684,0.018293772259430966,-0.014607393,-0.007771009,0.003009008517593916,0.03350727389056077,0.009531993581087158,-0.017297214,0.008392222673277952,0.0016415937730100306,-0.002033726,-0.00483303,0.014425186390097912,-0.002249835,0.002555517794549263,0.004967587525366235,-0.005264844,-0.007012408,0.0008988244969154729,-0.009019024,-0.017313832,0.010705344525606173,0.008935533786829663,-0.01083936,-0.013770297,-0.005033263,-0.013924878,-9.58E-05,-0.004128769,-0.006314012,-8.14E-05,-0.001411367,0.0036222561211429745,0.005634509135623144,0.007497490051358518,0.0004510987899895525,0.004977857581838212,-0.000794706,-0.00993692,0.01897834336154932,0.0066146044948655796,-0.005618431,0.013599869366899794,0.0012319724528244104,0.005285314553059758,-0.013563324,-0.010819255,0.002589247550196492,0.0016055818574636452,0.015295696009568668,0.00297907899623679,-0.009038712,-0.006874722,-0.006928735,0.002015540115086228,-0.001234124,0.005973865426460956,-0.002583326,-0.002243459,-9.87E-05,-0.003292894,0.0030198705522437273,0.0016389648147449275,-0.00338787,0.004785981992932865,-0.005221671,-0.002769973,-0.000361066,0.0010697448812341218,0.007326074380760017,-0.001845362,-0.001131666,0.0012715013796823738,-0.000692367,0.0011591912067846083,0.004998684001848936,0.0005941494009509473,0.0007847117744746982,0.002571070159327251,0.0010227954942198325,0.0005988782902186572,0.003331699332081936,-0.002213774,0.0007379225927501736
Pentostatin,2.1799990701985505,0.01992712400241918,-0.003281744,-1.800421914,0.5444927302097279,0.8301765759830554,-1.373500682,0.15692180066659833,-1.769711965,1.718111420428029,0.572922720015323,-0.844606305,-0.379489998,0.028453342769474442,-0.181574012,1.3383884361731753,0.8074441314590666,-1.80349627,0.09923969480048886,1.4854127114788718,0.4629491448486351,0.10575768857054332,-0.242751576,-0.119161047,-0.860423407,-0.78923793,-0.856573014,-2.379903118,-0.539810069,-0.410628804,-0.10530976,1.5291217689920824,-0.446337997,1.8452386286814526,-2.181892634,1.114140228757436,-0.184252951,0.7577577011773067,-0.593894511,-1.052723801,-0.764394275,0.7680808546567962,0.915311181906797,-0.328457236,2.9059882119075846,1.1916869284814693,0.6748901746674711,0.7399616220416196,0.9039066743681379,1.9062916187806802,-0.701169733,-1.851494858,-0.752230454,0.2425367760543403,0.8576650009811835,1.083105011315658,-2.035223321,1.1038460262111742,-0.584408048,0.06043139988318856,-0.605003494,-0.687912153,2.8348071979744844,0.6899555699164401,1.7473949971699814,-0.248875462,-0.521126896,0.16909895276060039,2.1572534837094164,1.0686018890849227,0.8719821343786549,-1.069203143,0.5355644894237912,0.8253209359830584,0.5845699339743907,-0.930174549,-2.84753906,2.3803362326910844,-0.445136005,1.261449660435494,0.8991693827525541,1.2005744183773988,-0.175317531,-0.12251448,2.3311504115014277,2.5926926628929072,0.5784445111325703,-0.867127915,-1.392194778,-2.861152882,-2.004901461,-0.596021354,0.04167811814941314,-2.484057201,0.9203146766012926,-3.29967426,0.4660114347137719,0.6190825776406268,1.2993979260966477,1.8816098809810735,-1.66578878,-1.013805358,-2.252674329,-3.024104719,1.3369365325755351,-2.136610349,-1.02910236,0.6815462326545105,-0.734157059,0.22737429635964368,1.5123772249850995,-0.419453175,0.939406442653091,0.8292841293321875,0.9099426974591049,-1.766446912,1.0261015568595415,1.6037499725903526,-1.290493092,-0.881758168,0.4587451989340799,-0.639976366,-4.230607728,0.6583332086070252,2.722116609032839,-1.150432381,1.624013779567713,-1.490042267
Everolimus,-1.45730891,-1.034790612,0.9005510580690813,1.2791612438571798,0.4615325354280694,1.3943241989433781,0.21732074970169976,-0.5734362,0.7339686921321388,-0.194978203,0.6377778947591601,0.6946444698818192,0.7933462819178304,0.7039770520694907,0.8056942342906344,0.37088218877611706,-2.17864185,-0.624628751,0.31484002590767024,0.12027558836464336,0.798413796333986,-1.226599262,1.2285107775869781,-0.450253418,-0.567132225,0.9460073981217211,-1.289303357,1.2511571367959686,0.1919155610077592,0.8319186940711535,-2.551028803,-0.349578883,0.7437621674081014,-1.204299979,-0.591149775,-1.144484974,0.7738186635500346,0.4239696365293024,1.9028821084952838,-1.534826761,0.5528607064030263,-0.62031488,0.07266268637191757,-0.896933966,0.7367102747651939,-1.804069644,-0.579161234,1.9952090518381296,-0.245914484,-0.15042797,0.5218607436080781,-1.284615851,1.4814205507378202,0.9349392123227607,0.7764660793111252,2.0747221073115982,0.7088293122476875,0.3980691881092903,-0.135506751,0.18052476754997707,-1.309520716,-1.036631067,-1.949791056,-2.577229275,-0.776681446,0.4005142790192795,0.4227889011000292,0.18185087836511982,-1.200926074,-0.123225924,0.20781163524087543,0.8135861068541926,-0.04329284,0.03622744770524719,0.15896472451201754,1.5769525666159105,0.6514922252707722,-0.012339836,0.866448881747885,0.9760585551999774,0.1799841463249535,-0.04413392,-0.490298905,0.7427680800402325,0.2803012632152156,0.2878273166430131,0.7656036635262025,0.49975995815496643,0.06124506712290921,0.6237138958092654,-0.395184252,0.4360272076678565,0.006549884338432514,0.4919015942311618,-0.186112983,-1.049731917,-0.049158735,0.5074511507681102,0.02148578061156209,0.2135840003630877,-0.861206824,0.46882583227758556,-0.406172008,-0.253874727,0.12234169988911256,-0.17672383,0.024720634964390784,0.47988121914206416,-0.042053387,0.17503586431048243,0.2751491869607167,0.8264609284578245,0.22134432997961728,-0.169737876,0.07735048670871117,0.24439041448052112,0.3761295954939377,0.19241093565068634,0.7373606076713749,-0.254747577,0.5496439345420157,0.3924616619627385,0.12506905906282922,0.34460607568017865,0.1801447603720788,-0.05939706,-0.021519528,0.019341509087232714
Aminoglutethimide,0.9146463096602193,1.241298824199877,-2.448880208,-0.037675991,-1.119928011,-1.568415284,-0.840491907,0.41939972114981805,-0.222954994,0.4788704440833704,1.4521124806834433,-1.681996765,1.28367337723881,-1.025378334,0.49059389251094854,0.41528305468336657,1.0280735592038623,0.7470118626748099,-0.892970486,-1.260088302,-0.952067163,-1.220544362,0.5916927538027256,0.6930126735139452,2.4624476587481894,0.583214507513778,0.7681131416415325,-0.151637082,0.88446995436743,0.04889123101923061,0.2499637790384598,0.21460232491972367,0.422217910696537,1.4156326070043592,4.644756374810527,0.32574470268756156,0.6242097196710434,0.419695722716152,0.21529469070930468,-0.262675996,0.7542279654655585,-1.090259645,1.5774575296053037,0.8863097588696988,0.7395702528766356,-0.115611023,-2.380441863,-0.123664322,1.059620678183317,-3.442937962,-1.223266178,-0.183799567,-1.336684231,1.0752656598503425,-0.621864805,0.27027960249697325,-1.233733672,-1.899691361,-0.392138806,0.45566239221803057,-0.678307291,0.14630599415359094,-1.517617491,-1.448144502,0.21081975369923203,0.3960847406508734,3.3160717370610584,-0.389934996,-0.736794909,-2.962636255,-2.143866021,-0.09445575,-0.839605752,1.73658439055269,0.5480604549400845,-1.137919471,1.7128410377203718,0.05118378242782547,0.7681746852829094,-1.400728613,-1.418401029,-2.120627727,0.7265792702926318,0.8159705130166184,0.0020007804973163484,4.237854116700349,2.0332188350947025,2.3232372252911233,2.7537968320675983,0.14353824239647234,-1.018261668,3.797709938926703,1.5701758803810968,-0.180625699,-0.286288337,-0.475953462,-1.093718426,-0.342300235,0.9610965528328125,1.6153327766830807,-0.350395168,3.6282599519933094,0.712461092539023,-2.170963186,2.6028088489186687,-1.243571363,1.7515119069459733,-0.15190023,0.6677292006483119,2.062284840007521,-0.198825379,-0.968804705,0.16399050191711528,1.1986110443198208,1.1669016610490803,2.730590271383684,0.619617395656419,-1.634825704,1.3419810031015313,1.6695824177934633,-0.527170307,2.8604971635717398,1.6070647317521518,2.833785190055292,-1.491621118,-1.022970549,-1.39579526,1.49334912068892
Letrozole,1.0265341858130221,-0.21367071,-0.225302342,-1.110938285,-0.615901515,-0.282000159,-0.546866847,-0.417136414,0.22454454715939698,0.27713997347959707,1.183384691588575,1.1026039766918603,-1.827557892,1.1172780671406726,0.7161326453963319,1.144167923112821,-3.084917897,1.8248753991532563,-1.47103321,-0.188647705,0.15840964942010557,1.5315972330462357,1.0961032458769517,-0.883782807,-1.487921752,0.9290133689077402,0.6234333114592056,-0.522700908,0.9913767326637405,2.029243672035277,-1.364978888,-0.240554287,-0.962813253,-0.144646338,1.0870127759981778,1.3326735463669366,-2.44497028,1.4789227122881305,-0.232953709,0.1886932257584819,0.2898839431602689,-1.143922552,2.3790735944671506,0.09132554379474601,-0.982428042,-0.647755519,1.0386100270067717,0.03691149298963952,0.03542427848174912,0.7117228469934419,0.2662119334707669,0.6502812467079364,-0.709961878,-0.730616012,0.385768027136886,0.4006818477705556,-1.237642871,-0.890285372,-0.030215248,-0.0955087,-0.68413002,-0.047876965,-0.273220237,-0.350301942,0.8563542047182213,0.8485847685116341,-0.01124013,-0.685190013,-0.369453095,0.004830169854260996,-0.467685642,-0.081051383,0.6861989810328081,1.4698915804694455,0.058957898903161374,-0.037443527,0.3852941120433988,0.325163644466758,0.30568985966761836,-0.094735129,0.6943971202917545,0.4695364396709582,0.5345042961646361,0.1500855494180333,-0.058487984,-0.203862814,-0.089355411,-0.276032046,-0.062911283,0.2744459139136572,0.805513930216413,0.13980855682031232,-0.128323439,0.10034751149513053,0.5673070173701306,0.07595831833178007,0.22049353109266562,0.10874753887043775,0.0014197304118365394,-0.164080889,-0.098455323,-0.262460282,-0.205680253,-0.12564195,-0.12825307,0.4550114550858293,-0.282535689,0.2476330406277763,0.4902519401090188,-0.126070029,-0.123572659,-0.488988336,-0.065520183,-0.096347945,-0.182630252,-0.014401406,0.06831969390443283,-0.152239164,0.38612907840223426,-0.35514987,-0.002543162,0.04808797916271078,-0.09534521,0.04391853056390921,-0.104683866,0.2940052831318214,-0.206262869,-0.026570808
Pemetrexed disodium,-1.651822706,0.645711674073975,2.0305885947525253,0.5143501011086395,1.980094247563519,0.48194165378119896,0.09677503832374414,0.45048265317003133,-0.55930126,0.550539431072009,0.17866228963571137,1.2257138570432056,0.8714189729211884,0.22383157219090427,-0.095335898,-1.171978972,-1.523029554,-0.434327561,-0.059507266,-2.721866494,-0.781419364,-0.092800496,-1.165153763,0.1242200379935351,-0.886733777,-0.118588785,0.8077674674351734,0.3678989931390731,1.745158499564758,-1.704902205,0.4753785252298488,1.4582465177585626,-0.444604481,0.030875543140490114,1.8251356611962075,0.3239770881640698,0.6136805024272188,-0.016890163,0.10677440042552543,-0.418888145,2.3822163598240134,-0.018011196,-0.703709542,-1.200677017,1.3867430682171098,-0.435084417,-0.89514759,1.933679028826468,1.7750220164419057,-1.530364848,-0.245342655,2.195813704656533,0.8221438360313625,-1.977911358,-0.400126077,-0.450267585,-1.115971671,1.8320117395757345,-0.969195022,0.07107621985717913,1.0845214712063351,1.2166452292814842,0.7903330302697558,0.1211372377643213,2.4955741490407175,-2.337397756,-0.873827849,-3.00888856,0.3172076124402433,-1.694894351,0.9671557001354678,0.5952309117442887,0.9637500468291902,1.8033861033091676,-1.211950483,0.023136949227541247,0.7121884827836603,-1.459908187,-0.129149093,1.2389238142270447,-0.124918219,-1.016078012,-3.708034572,2.2549677725157506,-0.526769445,-0.700204199,1.5071631257988316,2.029509169626938,-1.142000786,-2.617550466,-1.239469161,1.974803519893388,0.2623126296874865,-1.628094768,-0.102551977,0.5512777916439495,0.3710171395180461,-1.391278628,0.4513763590203616,1.902982980182082,-0.98565474,0.23143315823517924,-0.714415164,-0.855793258,0.847158803989866,1.2616559358145933,-2.14620672,2.0920760520187422,-4.017188468,-0.955150836,0.50552760286991,-1.832641544,-0.297240265,-1.338608618,1.088223671502972,-0.923160908,0.01449710831010016,-1.328326334,2.903784151577809,-0.92502909,-1.894736531,1.4138612365542587,-1.977234067,-0.234538279,-0.978474537,-3.976525614,1.8319734705272022,1.779717236145996
Plinabulin,0.005165477163585611,-0.399201101,0.8590212843758518,3.816437389968082,0.0019618082870193143,-0.30398124,0.7400984965288949,-0.662263027,0.8256508692763594,-0.084455173,0.7301230133051755,-0.562639152,0.4814883371902202,-0.178002137,0.17621167746627722,-0.192198879,-0.272847645,0.1893673768079017,0.11523236046969773,-0.116582004,0.37249842099909075,0.14693259198795147,-0.237294304,0.02641351864366776,0.06723855610838829,-0.171393312,-0.024907507,0.10702254301605965,0.032458292446594136,0.02327999516840173,-0.136392269,0.07249526330531192,0.09450775814092038,-0.109768537,0.26996645799841185,-0.155224448,0.13733976952475854,-0.047667341,0.14640821430158138,0.13763504395198284,0.04114538340399192,-0.017489515,0.047048811617435245,0.024744543733402062,0.10352530649810425,0.008022245620078946,0.057980435113659724,0.08022160711161008,-0.041734558,0.07559843606558792,-0.029748424,0.053490326196045185,-0.103094695,-0.112593163,-0.042491491,-0.058470136,-0.006040608,0.005185871580420723,-0.075165098,0.07578100196493527,0.15883439901784602,-0.02369787,0.017039537030060156,-0.027553397,0.02565672767567793,0.11269541146375452,-0.042685516,0.05523655792150403,-0.032067547,-0.005116057,-0.01088602,0.039187088913076845,0.03787004628569912,0.004133535782895975,-0.00392191,0.021771201877739156,0.008238525831842387,0.019153374406632246,-0.006353937,0.0234365005271028,-0.045418701,0.011720356406621276,0.08714600421005105,0.02892619886475523,-0.005511363,-0.01816765,-0.011583553,-0.034140144,0.04267277975066572,-0.080933506,-0.049302532,0.03803499248253895,-0.010578517,-0.015317146,0.04691457024366943,0.03066086706438336,-0.013963932,0.004075761231372728,0.0165049466812733,0.001288166665063767,0.022669345902861966,0.014094657777276514,0.019822320105051656,0.013499220244308337,-0.029714598,-0.041921841,0.007493491609710334,0.036469770706241605,0.05941884322364486,0.02892303826331517,-0.037388537,-0.005991743,-0.024130654,0.010295532682061759,-0.018968398,0.03611183500901677,-0.015620821,-0.006222515,0.0008518798302265144,-0.005874686,-0.005064948,-0.019144305,-0.035907952,0.020957944570847657,-0.006199738,-0.009699468,-0.008418145,-0.035232689
Topotecan,-0.318993995,-1.71634722,0.9164888831566813,-0.07735835,0.3493550680063104,-0.063088321,0.8403909412914328,-1.80588275,0.550553571203536,-1.080458018,-0.057262459,-1.070061386,-2.923060079,0.43634092104119615,1.3648127097706166,0.12836466455311402,-0.519845884,1.363876237623975,2.820522931231422,-1.040087634,0.7907631917027698,-1.664910204,-1.069923132,0.9334645228884902,2.000424448287564,1.1686851863159584,-0.335782706,0.7172692883651526,-0.395471437,0.5172315519255705,-2.601686808,-0.27010635,-0.404471954,0.07193049155804614,-1.363459925,1.021297191789038,-0.633883509,0.8408708939375074,1.3116455159103149,0.29550056661599977,-1.298085714,1.2144807638981236,-1.01396517,-0.179964884,-0.574531773,2.4854971468255465,-1.347805013,0.75380092040771,-0.973050597,0.8910836553798954,-0.93070415,2.0098755533146586,-0.159701066,-1.335980304,0.10991679983009336,1.4275174642501303,-0.71686589,2.4496491958446645,0.03041231831062694,0.609273386540647,-1.478512144,0.9684587437130497,-3.097890196,1.6475620498607015,1.0430910055175897,-1.664440597,-1.666868927,-1.744162107,-2.853352106,2.090305683350835,-2.807955099,-0.400120668,0.6284692035407566,-1.863088879,-2.467810128,1.9409651179822152,-1.093952835,1.2051985066148363,-0.846899702,1.2404324214114424,-0.617222576,0.19406698361894603,1.4565623377417642,-0.129947876,-0.787748084,-0.597825891,-0.123971864,3.03679421813507,-0.001913031,-2.023410425,-2.02630389,-1.11466219,0.1289513679510856,-0.994402088,-0.939567667,0.6250362310501816,-0.966839869,1.0775234186771023,-1.62075581,-0.627349859,0.9679188462323005,-1.729733406,-0.878711806,0.7007574708120652,0.5256720834406936,-0.530952951,0.36482050471966343,0.280140011853518,0.7802924225169399,2.336586482917342,-1.222232668,0.4776930746487402,-1.665550272,0.6245735837516089,-1.244880506,-1.631609665,0.1318713414564053,-0.861930861,0.20134475798172788,-0.677731275,1.335911862658418,-0.680629593,-1.642520836,2.5706681918221634,0.9068577882160449,1.8000985118969495,1.7161746707694234,-0.655766205
5-Azacitidine,-1.891251254,-1.549798375,1.0008951706096383,-1.053878416,-1.313144734,1.737133309153438,0.5587192832797148,2.38517828960592,0.8074038480712054,-1.166535419,2.054757649088149,1.4393540060309502,-0.329564193,0.7170841898317549,-2.631864402,0.6468719518615575,-0.787429396,-1.194253144,-1.060305107,1.4132056891831009,1.2461899705712285,-0.770431957,-2.103550679,0.5773871103665966,0.11772347870870578,0.21345757900255338,-1.102820209,-1.795816521,0.6241484415639588,1.203350797954279,0.9470268606773512,1.1929674591147588,-0.333532827,-1.682366945,0.3748192531352257,-0.095760495,-0.092240217,-0.013267067,0.610375202999187,1.4742977375317712,0.8177133984433733,-0.003002847,-3.051033187,0.4294908494051849,1.7940923380015235,-0.96314962,0.21246488128443922,0.3036128689260678,1.0163406085818623,-0.915551154,0.10119742822078233,-0.168779358,1.528911348238922,2.4819399424368918,0.3375720239290066,0.9621245444976768,-1.393314755,-2.104678784,1.3052803970734939,0.6075337111556812,2.8360860982143294,-0.976897734,0.31402180622828735,-0.522640829,-2.357454929,-1.007748332,-0.437923783,0.1654692585189334,-1.267964427,-0.09048871,0.9616159066371317,1.037772228028795,0.9879055300874117,0.9742608054304708,1.4470311239435667,-1.189650518,1.0485558862390276,-2.399577133,1.3615823590926428,1.0572820985234532,-0.232083954,0.09248334985671884,-0.295855408,-0.011703587,-1.576352928,0.3382686027554384,-1.449224692,-3.363929729,-1.701609681,-0.311076092,-0.764928113,1.459509488781878,-2.406867149,-2.853678283,-1.82311598,-1.072586199,1.5435862963969196,-1.068729445,-1.700441089,2.316487315969748,0.9374653117524613,-1.559801332,0.9657891771810315,3.414071615759591,2.0570310482785503,1.4038041787418163,-1.588608871,0.7902759605408379,-0.542762588,1.3137692615666428,-0.043475651,1.304734492284667,-1.837568606,-4.422444546,-0.775634043,-2.851588436,-2.693929091,1.1102097869090761,2.002237452200875,-0.012500279,2.953736886939918,-1.137848077,-1.976024378,-1.64963362,-1.258819967,1.0916138184379858,-2.326955259,2.9518141661485573
