Drug1,Drug2,Cell line,ZIP,classification
"2',3'-Dideoxyinosine",Temozolomide,T98G_CENTRAL_NERVOUS_SYSTEM,19.78,synergy
5-Azacitidine,Allopurinol,786O_KIDNEY,-7.42,antagonism
5-Azacitidine,Allopurinol,A549_LUNG,-6.86,antagonism
5-Azacitidine,Allopurinol,ACHN_KIDNEY,-8.88,antagonism
5-Azacitidine,Allopurinol,BT549_BREAST,-10.75,antagonism
5-Azacitidine,Allopurinol,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,7.24,synergy
5-Azacitidine,Allopurinol,HOP62_LUNG,-7.89,antagonism
5-Azacitidine,Allopurinol,HS578T_BREAST,-8.94,antagonism
5-Azacitidine,Allopurinol,KM12_LARGE_INTESTINE,-14.85,antagonism
5-Azacitidine,Allopurinol,NCIH522_LUNG,-6.25,antagonism
5-Azacitidine,Allopurinol,OVCAR8_OVARY,-6.94,antagonism
5-Azacitidine,Allopurinol,UO31_KIDNEY,-6.91,antagonism
5-Azacitidine,Anastrozole,HCT15_LARGE_INTESTINE,9.31,synergy
5-Azacitidine,Anastrozole,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,10.51,synergy
5-Azacitidine,Anastrozole,HT29_LARGE_INTESTINE,-5.31,antagonism
5-Azacitidine,Anastrozole,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-5.78,antagonism
5-Azacitidine,Anastrozole,MDAMB231_BREAST,-5.26,antagonism
5-Azacitidine,Anastrozole,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-6.33,antagonism
5-Azacitidine,Anastrozole,SW620_LARGE_INTESTINE,-5.24,antagonism
5-Azacitidine,Bortezomib,786O_KIDNEY,-5.02,antagonism
5-Azacitidine,Bortezomib,A498_KIDNEY,-5.58,antagonism
5-Azacitidine,Bortezomib,BT549_BREAST,-9.31,antagonism
5-Azacitidine,Bortezomib,DU145_PROSTATE,-8.46,antagonism
5-Azacitidine,Bortezomib,HCT116_LARGE_INTESTINE,-8.47,antagonism
5-Azacitidine,Bortezomib,HOP62_LUNG,-5.61,antagonism
5-Azacitidine,Bortezomib,HS578T_BREAST,-6.62,antagonism
5-Azacitidine,Bortezomib,HT29_LARGE_INTESTINE,-8.33,antagonism
5-Azacitidine,Bortezomib,MCF7_BREAST,-6.08,antagonism
5-Azacitidine,Bortezomib,MDAMB231_BREAST,-7.6,antagonism
5-Azacitidine,Bortezomib,NCIH226_LUNG,-16.65,antagonism
5-Azacitidine,Bortezomib,NCIH522_LUNG,-5.38,antagonism
5-Azacitidine,Bortezomib,OVCAR8_OVARY,-6.17,antagonism
5-Azacitidine,Bortezomib,SF539_CENTRAL_NERVOUS_SYSTEM,-9.02,antagonism
5-Azacitidine,Bortezomib,SKMEL5_SKIN,-10.87,antagonism
5-Azacitidine,Bortezomib,SKOV3_OVARY,-11.7,antagonism
5-Azacitidine,Bortezomib,SW620_LARGE_INTESTINE,-5.79,antagonism
5-Azacitidine,Bortezomib,UACC62_SKIN,-7.57,antagonism
5-Azacitidine,Bortezomib,UO31_KIDNEY,-6.37,antagonism
5-Azacitidine,Busulfan,786O_KIDNEY,-9.15,antagonism
5-Azacitidine,Busulfan,BT549_BREAST,-9.65,antagonism
5-Azacitidine,Busulfan,CAKI1_KIDNEY,15.47,synergy
5-Azacitidine,Busulfan,DU145_PROSTATE,6.57,synergy
5-Azacitidine,Busulfan,HCT15_LARGE_INTESTINE,-5.42,antagonism
5-Azacitidine,Busulfan,HS578T_BREAST,-6.97,antagonism
5-Azacitidine,Busulfan,MDAMB231_BREAST,-7.18,antagonism
5-Azacitidine,Busulfan,NCIH226_LUNG,-5.3,antagonism
5-Azacitidine,Busulfan,NCIH522_LUNG,-10.26,antagonism
5-Azacitidine,Busulfan,PC3_PROSTATE,-6.44,antagonism
5-Azacitidine,Busulfan,SKMEL5_SKIN,-7.31,antagonism
5-Azacitidine,Busulfan,U251MG_CENTRAL_NERVOUS_SYSTEM,17.97,synergy
5-Azacitidine,Busulfan,UACC257_SKIN,-6.55,antagonism
5-Azacitidine,Busulfan,UO31_KIDNEY,-8.24,antagonism
5-Azacitidine,Carmustine,786O_KIDNEY,-7.65,antagonism
5-Azacitidine,Carmustine,ACHN_KIDNEY,-7.73,antagonism
5-Azacitidine,Carmustine,DU145_PROSTATE,-7.49,antagonism
5-Azacitidine,Carmustine,HOP62_LUNG,-8.77,antagonism
5-Azacitidine,Carmustine,HOP92_LUNG,-5.84,antagonism
5-Azacitidine,Carmustine,HS578T_BREAST,-6.41,antagonism
5-Azacitidine,Carmustine,HT29_LARGE_INTESTINE,-5.34,antagonism
5-Azacitidine,Carmustine,IGROV1_OVARY,-7.17,antagonism
5-Azacitidine,Carmustine,KM12_LARGE_INTESTINE,-8.96,antagonism
5-Azacitidine,Carmustine,LOXIMVI_SKIN,-7.71,antagonism
5-Azacitidine,Carmustine,MDAMB231_BREAST,-12.52,antagonism
5-Azacitidine,Carmustine,MDAMB435S_SKIN,-10.19,antagonism
5-Azacitidine,Carmustine,NCIH226_LUNG,-6.03,antagonism
5-Azacitidine,Carmustine,OVCAR4_OVARY,-9.66,antagonism
5-Azacitidine,Carmustine,OVCAR8_OVARY,-9.06,antagonism
5-Azacitidine,Carmustine,PC3_PROSTATE,-10.6,antagonism
5-Azacitidine,Carmustine,SF539_CENTRAL_NERVOUS_SYSTEM,-6.38,antagonism
5-Azacitidine,Carmustine,SKMEL5_SKIN,-5.93,antagonism
5-Azacitidine,Carmustine,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,-5.04,antagonism
